4
5
6
12
11
0
2
3
1
9
10
7
8
1 8
6 10
7 10
5 10
9 10
8 10
2 8
4 10
0 5
0 6
1 6
1 5
4 11
2 4
2 7
4 7
4 12
0 4
0 7
1 7
1 4
5 12
6 12
3 4
5 11
6 11
2 6
2 5
3 6
4 5
3 7
2 10
8 12
11 12
0 11
0 12
2 12
3 12
2 3
2 11
1 11
1 12
0 1
0 9
9 11
9 12
1 9
3 10
1 10
3 11
1 3
10 11
10 12
1 2
7 12
7 11
0 3
3 9
0 2
2 9
3 8
8 11
0 10
0 2 5 10 11
0 2 3 4 10
0 2 4 7 10
0 2 4 10 11
0 2 7 10 11
0 4 7 10 11
1 9 10 11 12
3 7 9 11 12
0 3 7 8 11
0 2 3 8 11
3 4 7 8 11
2 3 8 9 11
2 8 9 10 11
2 3 7 8 11
1 3 7 9 11
1 2 3 7 10
1 3 7 10 11
1 2 5 10 11
1 3 9 10 11
1 2 3 9 11
2 3 9 10 11
1 2 7 10 11
1 2 9 10 11
2 3 8 10 11
0 2 9 10 11
0 1 9 10 11
3 9 10 11 12
0 3 9 10 11
0 9 10 11 12
0 2 8 11 12
0 3 8 11 12
2 3 4 8 11
1 3 9 11 12
1 2 3 4 10
1 3 4 10 11
1 2 4 10 11
2 3 9 11 12
3 7 10 11 12
2 3 4 10 12
2 7 10 11 12
2 4 10 11 12
3 4 7 10 11
2 3 7 10 11
2 3 4 7 10
2 4 7 10 11
2 3 4 10 11
8 9 10 11 12
2 3 10 11 12
0 1 6 11 12
0 1 2 10 11
0 1 3 10 11
0 3 10 11 12
0 1 2 3 10
0 2 3 10 11
0 1 2 10 12
0 2 10 11 12
1 2 10 11 12
1 2 3 10 11
1 2 3 7 12
1 3 7 11 12
0 1 2 5 11
0 1 3 4 7
0 1 2 3 7
0 1 3 7 11
0 1 3 4 11
0 1 2 3 11
0 1 2 3 12
1 2 3 4 12
0 1 2 3 4
0 1 3 11 12
0 1 10 11 12
0 3 7 11 12
0 2 3 11 12
0 3 4 7 11
0 4 5 6 7
0 2 3 4 11
0 2 3 7 11
0 2 3 4 12
1 3 4 7 11
1 2 3 7 11
1 2 4 5 11
1 2 3 4 11
0 3 9 11 12
0 7 9 11 12
1 7 9 11 12
0 4 9 11 12
0 1 4 9 11
0 1 7 9 11
0 2 4 9 11
0 2 7 9 11
2 4 9 11 12
2 7 9 11 12
1 2 4 9 11
1 4 7 9 11
1 2 7 9 11
2 4 7 9 11
0 2 9 11 12
0 1 4 11 12
0 1 7 11 12
0 1 2 9 11
1 2 4 11 12
1 4 7 11 12
1 2 7 11 12
0 1 2 4 11
0 1 2 4 7
0 1 2 7 11
0 1 4 7 11
0 1 2 4 12
2 4 7 11 12
0 1 2 11 12
0 2 4 11 12
0 4 7 11 12
0 2 7 11 12
0 2 4 7 11
1 2 4 7 11
2 3 7 11 12
3 4 7 11 12
2 3 4 11 12
2 3 4 7 11
4 5 6 7 11
2 4 5 6 7
0 1 9 11 12
1 3 10 11 12
1 2 3 11 12
1 2 9 11 12
0 3 7 10 11 12
0 1 4 8 11 12
1 2 3 8 11 12
0 2 7 10 11 12
0 1 8 10 11 12
0 2 8 10 11 12
1 2 8 10 11 12
0 2 8 9 11 12
0 2 3 9 11 12
1 2 9 10 11 12
0 2 9 10 11 12
2 3 9 10 11 12
2 3 8 9 11 12
2 8 9 10 11 12
0 1 2 8 11 12
0 1 3 8 10 11
0 3 4 7 8 11
0 1 2 8 10 11
1 2 8 9 10 11
0 1 2 8 9 11
0 2 8 9 10 11
0 2 3 9 10 11
0 1 2 3 9 11
0 1 9 10 11 12
0 1 2 3 8 11
0 1 3 9 11 12
1 2 7 10 11 12
1 2 4 10 11 12
0 1 2 7 10 11
0 1 3 7 10 11
0 1 2 5 10 11
0 1 2 3 4 10
0 2 3 4 10 11
0 2 4 7 10 11
1 2 3 9 11 12
0 2 3 7 8 11
2 3 8 9 10 11
1 2 3 9 10 11
1 2 3 7 10 11
0 1 2 9 10 11
0 3 9 10 11 12
1 2 3 4 10 11
2 3 4 10 11 12
2 3 4 7 10 11
2 4 5 6 7 10
0 1 2 3 11 12
0 1 3 10 11 12
0 2 3 10 11 12
0 1 2 3 10 11
0 1 2 10 11 12
1 2 3 10 11 12
1 2 3 7 11 12
1 2 3 4 11 12
0 1 2 3 4 11
0 1 3 4 7 11
0 1 2 3 7 11
0 1 2 3 4 12
0 2 3 7 11 12
0 2 4 5 6 7
0 4 5 6 7 11
1 2 4 5 6 7
0 1 7 9 11 12
1 2 7 9 11 12
0 1 2 7 9 11
0 2 4 7 9 11
2 4 7 9 11 12
1 2 4 7 9 11
0 1 2 9 11 12
0 1 2 4 11 12
0 1 2 7 11 12
1 2 4 7 11 12
0 1 2 4 7 11
0 2 4 7 11 12
2 4 5 6 7 12
2 4 5 6 7 11
2 3 4 5 6 7
0 1 2 8 9 11 12
1 2 3 9 10 11 12
0 1 2 3 9 11 12
0 1 2 9 10 11 12
2 3 8 9 10 11 12
0 1 2 8 9 10 11
0 1 2 3 9 10 11
0 1 2 3 4 10 11
2 4 5 6 7 8 11
1 2 4 5 6 7 10
2 4 5 6 7 9 11
2 4 5 6 7 10 12
2 3 4 5 6 7 10
2 4 5 6 7 10 11
0 1 2 3 7 11 12
0 1 2 3 10 11 12
0 1 2 4 5 6 7
0 2 3 4 5 6 7
0 2 4 5 6 7 11
1 2 3 4 5 6 7
1 2 4 5 6 7 11
1 2 4 7 9 11 12
0 2 4 7 9 11 12
0 1 2 4 7 9 11
0 1 2 4 7 11 12
2 4 5 6 7 11 12
2 3 4 5 6 7 12
2 3 4 5 6 7 11
2 4 5 6 7 8 11 12
0 1 2 8 9 10 11 12
0 1 2 3 9 10 11 12
0 2 3 4 5 6 7 10
2 4 5 6 7 9 11 12
2 3 4 5 6 7 8 11
1 2 3 4 5 6 7 10
1 2 4 5 6 7 10 11
2 3 4 5 6 7 9 11
2 3 4 5 6 7 10 12
2 4 5 6 7 10 11 12
2 3 4 5 6 7 10 11
0 1 2 3 4 5 6 7
0 1 2 4 5 6 7 11
0 2 3 4 5 6 7 11
1 2 3 4 5 6 7 11
0 1 2 4 7 9 11 12
2 3 4 5 6 7 11 12
0 2 3 4 5 6 7 9 11
0 1 2 3 4 5 6 7 10
0 2 3 4 5 6 7 10 11
2 3 4 5 6 7 9 11 12
2 3 4 5 6 7 8 10 11
2 3 4 5 6 7 8 9 11
1 2 3 4 5 6 7 9 11
1 2 3 4 5 6 7 10 11
2 3 4 5 6 7 9 10 11
2 3 4 5 6 7 10 11 12
1 2 3 4 5 6 7 11 12
0 1 2 3 4 5 6 7 11
0 2 3 4 5 6 7 11 12
2 3 4 5 6 7 8 9 11 12
1 2 3 4 5 6 7 9 11 12
0 2 3 4 5 6 7 9 11 12
2 3 4 5 6 7 9 10 11 12
1 2 3 4 5 6 7 8 9 11
0 2 3 4 5 6 7 8 9 11
1 2 3 4 5 6 7 10 11 12
0 1 2 3 4 5 6 7 10 11
2 3 4 5 6 7 8 9 10 11
1 2 3 4 5 6 7 9 10 11
0 1 2 3 4 5 6 7 11 12
2 3 4 5 6 7 8 9 10 11 12
1 2 3 4 5 6 7 9 10 11 12
0 1 2 3 4 5 6 7 10 11 12
1 2 3 4 5 6 7 8 9 10 11
0 1 2 3 4 5 6 7 8 9 11
0 2 3 4 5 6 7 8 9 10 11
0 1 2 3 4 5 6 7 8 9 11 12
0 1 2 3 4 5 6 7 8 9 10 11
0 1 2 3 4 5 6 7 8 9 10 11 12
